#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
TTLL6,"Tubulin polyglutamylase TTLL6; Polyglutamylase which preferentially modifies alpha- tubulin. Mediates tubulin polyglutamylation in cilia. Involved in the side-chain elongation step of the polyglutamylation reaction rather than in the initiation step. Generates long side-chains. Generates polyglutamylation of CGAS/MB21D1, leading to impair the DNA-binding activity of CGAS/MB21D1; Tubulin tyrosine ligase family"
TTYH3,Protein tweety homolog 3; Probable large-conductance Ca(2+)-activated chloride channel. May play a role in Ca(2+) signal transduction; Belongs to the tweety family
TUBA1B,"Tubulin alpha-1B chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Tubulins"
TUBA1C,"Tubulin alpha-1C chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Belongs to the tubulin family"
TUBB,"Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Tubulins"
TYMS,Thymidylate synthase; Contributes to the de novo mitochondrial thymidylate biosynthesis pathway
UBE2C,"Ubiquitin-conjugating enzyme E2 C; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. In vitro catalyzes 'Lys- 11'- and 'Lys-48'-linked polyubiquitination. Acts as an essential factor of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated ubiquitin ligase that controls progression through mitosis. Acts by initiating 'Lys-11'-linked polyubiquitin chains on APC/C substrates, leading to the degradation of APC/C substrates by the proteasome and promoting mitotic exit; Ubiquitin conjugating enzymes E2"
UBE2N,"Ubiquitin-conjugating enzyme E2 N; The UBE2V1-UBE2N and UBE2V2-UBE2N heterodimers catalyze the synthesis of non-canonical 'Lys-63'-linked polyubiquitin chains. This type of polyubiquitination does not lead to protein degradation by the proteasome. Mediates transcriptional activation of target genes. Plays a role in the control of progress through the cell cycle and differentiation. Plays a role in the error-free DNA repair pathway and contributes to the survival of cells after DNA damage. Acts together with the E3 ligases, HLTF and SHPRH, in the 'Lys-63'-linked poly-ubiquitination of P [...] "
UBE2R2,Ubiquitin-conjugating enzyme E2 R2; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. In vitro catalyzes monoubiquitination and 'Lys-48'-linked polyubiquitination. May be involved in degradation of katenin; Ubiquitin conjugating enzymes E2
UBE2T,"Ubiquitin-conjugating enzyme E2 T; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. Catalyzes monoubiquitination. Involved in mitomycin-C (MMC)-induced DNA repair. Acts as a specific E2 ubiquitin-conjugating enzyme for the Fanconi anemia complex by associating with E3 ubiquitin-protein ligase FANCL and catalyzing monoubiquitination of FANCD2, a key step in the DNA damage pathway. Also mediates monoubiquitination of FANCL and FANCI. May contribute to ubiquitination and degradation of BRCA1. In vitro able to promote polyubiquitination using a [...] "
UBE2V2,Ubiquitin-conjugating enzyme E2 variant 2; Has no ubiquitin ligase activity on its own. The UBE2V2/UBE2N heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'. This type of poly-ubiquitination does not lead to protein degradation by the proteasome. Mediates transcriptional activation of target genes. Plays a role in the control of progress through the cell cycle and differentiation. Plays a role in the error-free DNA repair pathway and contributes to the survival of cells after DNA damage
UGT2B15,"UDP-glucuronosyltransferase 2B15; UDPGTs are of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isozyme displays activity toward several classes of xenobiotic substrates, including simple phenolic compounds, 7-hydroxylated coumarins, flavonoids, anthraquinones, and certain drugs and their hydroxylated metabolites. It also catalyzes the glucuronidation of endogenous estrogens and androgens; Belongs to the UDP-glycosyltransferase family"
UHRF1,"E3 ubiquitin-protein ligase UHRF1; Multidomain protein that acts as a key epigenetic regulator by bridging DNA methylation and chromatin modification. Specifically recognizes and binds hemimethylated DNA at replication forks via its YDG domain and recruits DNMT1 methyltransferase to ensure faithful propagation of the DNA methylation patterns through DNA replication. In addition to its role in maintenance of DNA methylation, also plays a key role in chromatin modification: through its tudor-like regions and PHD- type zinc fingers, specifically recognizes and binds histone H3 trimethylat [...] "
ULBP1,"UL16-binding protein 1; Binds and activates the KLRK1/NKG2D receptor, mediating natural killer cell cytotoxicity; Belongs to the MHC class I family"
UMPS,Uridine 5'-monophosphate synthase; Uridine monophosphate synthetase; In the C-terminal section; belongs to the OMP decarboxylase family
UNG,Uracil-DNA glycosylase; Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine; Belongs to the uracil-DNA glycosylase (UDG) superfamily. UNG family
UTP18,U3 small nucleolar RNA-associated protein 18 homolog; Involved in nucleolar processing of pre-18S ribosomal RNA; UTPb subcomplex
UTP6,U3 small nucleolar RNA-associated protein 6 homolog; Involved in nucleolar processing of pre-18S ribosomal RNA; UTPb subcomplex
VARS,"Valine--tRNA ligase; Aminoacyl tRNA synthetases, Class I"
VAV2,Guanine nucleotide exchange factor VAV2; Guanine nucleotide exchange factor for the Rho family of Ras-related GTPases. Plays an important role in angiogenesis. Its recruitment by phosphorylated EPHA2 is critical for EFNA1-induced RAC1 GTPase activation and vascular endothelial cell migration and assembly (By similarity); Pleckstrin homology domain containing
VDAC1,Voltage-dependent anion-selective channel protein 1; Forms a channel through the mitochondrial outer membrane and also the plasma membrane. The channel at the outer mitochondrial membrane allows diffusion of small hydrophilic molecules; in the plasma membrane it is involved in cell volume regulation and apoptosis. It adopts an open conformation at low or zero membrane potential and a closed conformation at potentials above 30-40 mV. The open state has a weak anion selectivity whereas the closed state is cation-selective. May participate in the formation of the permeability transition p [...] 
VRK1,"Serine/threonine-protein kinase VRK1; Serine/threonine kinase involved in Golgi disassembly during the cell cycle: following phosphorylation by PLK3 during mitosis, required to induce Golgi fragmentation. Acts by mediating phosphorylation of downstream target protein. Phosphorylates 'Thr- 18' of p53/TP53 and may thereby prevent the interaction between p53/TP53 and MDM2. Phosphorylates casein and histone H3. Phosphorylates BANF1: disrupts its ability to bind DNA, reduces its binding to LEM domain-containing proteins and causes its relocalization from the nucleus to the cytoplasm. Phosph [...] "
WASF1,"Wiskott-Aldrich syndrome protein family member 1; Downstream effector molecule involved in the transmission of signals from tyrosine kinase receptors and small GTPases to the actin cytoskeleton. Promotes formation of actin filaments. Part of the WAVE complex that regulates lamellipodia formation. The WAVE complex regulates actin filament reorganization via its interaction with the Arp2/3 complex (By similarity). As component of the WAVE1 complex, required for BDNF- NTRK2 endocytic trafficking and signaling from early endosomes (By similarity); A-kinase anchoring proteins"
WDHD1,WD repeat and HMG-box DNA-binding protein 1; Acts as a replication initiation factor that brings together the MCM2-7 helicase and the DNA polymerase alpha/primase complex in order to initiate DNA replication; WD repeat domain containing
WDR12,"Ribosome biogenesis protein WDR12; Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome; WD repeat domain containing"
WDR62,"WD repeat-containing protein 62; Required for cerebral cortical development. Plays a role in neuronal proliferation and migration. Plays a role in mother-centriole-dependent centriole duplication; the function seems also to involve CEP152, CDK5RAP2 and CEP63 through a stepwise assembled complex at the centrosome that recruits CDK2 required for centriole duplication; WD repeat domain containing"
WDR76,"WD repeat-containing protein 76; Specifically binds 5-hydroxymethylcytosine (5hmC), suggesting that it acts as a specific reader of 5hmC; WD repeat domain containing"
